,Municipio,casosm,casosh,año
0,AMAZONAS,31,16,2018
1,ANTIOQUIA,666,517,2018
2,ARAUCA,114,84,2018
3,SAN ANDRÉS,9,8,2018
4,ATLÁNTICO,152,144,2018
5,VICHADA,1,1,2018
6,SANTAFE DE BOGOTA D.C,1937,1888,2018
7,BOLÍVAR,105,75,2018
8,BOYACÁ,156,151,2018
9,CALDAS,50,37,2018
10,CAQUETÁ,38,23,2018
11,CASANARE,124,132,2018
12,CAUCA,59,67,2018
13,CESAR,58,53,2018
14,CHOCÓ,8,13,2018
15,CÓRDOBA,37,31,2018
16,CUNDINAMARCA,487,468,2018
17,GUAINÍA,9,3,2018
18,GUAVIARE,9,4,2018
19,HUILA,112,88,2018
20,GUAJIRA,37,29,2018
21,MAGDALENA,73,67,2018
22,META,320,300,2018
23,NARIÑO,46,50,2018
24,NORTE DE SANTANDER,100,89,2018
25,PUTUMAYO,34,15,2018
26,QUINDÍO,74,43,2018
27,RISARALDA,86,81,2018
28,SANTANDER,246,214,2018
29,SUCRE,46,51,2018
30,TOLIMA,175,157,2018
31,VALLE,260,235,2018
