,Municipio,casosm,casosh
0,AMAZONAS,0,2
1,ANTIOQUIA,237,116
2,ARAUCA,7,8
3,ATLÁNTICO,88,66
4,SANTAFE DE BOGOTA D.C,281,213
5,BOLÍVAR,32,33
6,BOYACÁ,35,29
7,CALDAS,19,8
8,CAQUETÁ,1,3
9,CASANARE,13,8
10,CAUCA,41,32
11,CESAR,9,7
12,CHOCÓ,1,1
13,CÓRDOBA,8,14
14,CUNDINAMARCA,66,77
15,GUAINÍA,1,2
16,HUILA,28,25
17,GUAJIRA,11,12
18,MAGDALENA,21,15
19,META,28,23
20,NARIÑO,27,27
21,NORTE DE SANTANDER,38,26
22,PUTUMAYO,0,2
23,QUINDÍO,21,21
24,RISARALDA,28,22
25,SANTANDER,63,44
26,SUCRE,12,19
27,TOLIMA,40,46
28,VALLE,121,80
29,SAN ANDRÉS,2,1
